Favorite Color,Favorite Music Genre,Favorite Beverage,Favorite Soft Drink,Gender
0, 1, 2, 3, 'F'
4, 5, 2, 6, 'F'
7, 1, 8, 6, 'F'
7, 9, 10, 11, 'F'
0, 1, 2, 6, 'F'
7, 12, 13, 11, 'F'
0, 14, 15, 6, 'F'
7, 14, 10, 11, 'F'
7, 1, 16, 3, 'F'
4, 14, 8, 6, 'F'
0, 14, 16, 3, 'F'
7, 14, 16, 3, 'F'
7, 14, 8, 3, 'F'
7, 17, 8, 6, 'F'
0, 1, 15, 6, 'F'
7, 12, 8, 6, 'F'
0, 14, 8, 3, 'F'
0, 1, 16, 6, 'F'
0, 1, 16, 6, 'F'
0, 14, 13, 3, 'F'
0, 14, 15, 11, 'F'
7, 12, 10, 11, 'F'
0, 1, 2, 6, 'F'
7, 14, 16, 6, 'F'
0, 9, 10, 3, 'F'
7, 18, 10, 6, 'F'
0, 14, 15, 16, 'F'
0, 14, 13, 16, 'F'
0, 14, 13, 6, 'F'
0, 17, 13, 11, 'F'
7, 1, 16, 6, 'F'
4, 1, 15, 6, 'F'
0, 18, 15, 6, 'F'
7, 18, 8, 16, 'M'
4, 5, 15, 3, 'M'
7, 17, 16, 6, 'M'
4, 1, 13, 6, 'M'
0, 14, 16, 11, 'M'
0, 14, 10, 11, 'M'
7, 1, 2, 3, 'M'
0, 1, 2, 6, 'M'
4, 14, 13, 3, 'M'
7, 18, 13, 6, 'M'
0, 1, 8, 3, 'M'
0, 9, 15, 16, 'M'
0, 5, 15, 6, 'M'
0, 5, 8, 6, 'M'
0, 18, 10, 3, 'M'
0, 1, 13, 16, 'M'
7, 5, 15, 6, 'M'
0, 18, 13, 6, 'M'
0, 1, 13, 6, 'M'
0, 5, 13, 16, 'M'
7, 1, 15, 11, 'M'
0, 17, 13, 11, 'M'
0, 17, 16, 11, 'M'
7, 9, 16, 11, 'M'
7, 17, 2, 11, 'M'
7, 12, 2, 6, 'M'
0, 14, 10, 16, 'M'
0, 17, 10, 6, 'M'
0, 1, 2, 6, 'M'
0, 5, 15, 6, 'M'
4, 5, 13, 11, 'M'
0, 1, 8, 6, 'M'
0, 17, 15, 6, 'M'